EventStartDate,EventTitle,EventDescription,,,
6-Apr-14,Pro-Russian Crowds Storm Government Buildings in eastern Ukraine,"In Donetsk, several hundred of pro-Russian activists rushed into the seat of the regional government and demanded that deputies of the Donetsk Oblast vote to authorize a referendum on allowing the ""Donetsk Republic"" to join Russia. The separatist organization Donbas Peoples’ Uprising claimed responsibility for the takeover. Witnesses reported seeing “people bringing car tires to be used as barricades against any presumed attempt by authorities to retake the building.”

In Luhansk, hundreds of separatists surrounded the regional security service office (SBU). Luhansk police reported that the protestors broke into an armory room and seized some guns. The amount of guns is unknown.

Unrest also continued in the Black Sea city of Odessa, where both pro-Russian and the EuroMaidan activists took to the streets. No clashes were reported. And in Kharkiv, several dozen protestors broke through police lines and seized the regional government building.",,,
12-Apr-14,Pro-Russian Forces Seize Additional Facilities,"Pro-Russian forces took control of security facilities in more eastern Ukrainian cities on Saturday despite a call by the government for an end to such actions on Friday evening. Buildings, and in some cases weapons, were seized in Slovyansk, Kramatorsk, and Druzkovka, while an additional attack was turned back in Krasny Liman and unrest in Donetsk continued.

The armed men professed support for greater autonomy for southeastern Ukraine and for referenda on the status of these regions. In Donetsk, forces reportedly wearing the uniforms of the Berkut seized the police headquarters and forced the resignation of the police chief.

Ukrainian Interior Minister Arsen Avakov stated that “our response will be very severe. There is zero tolerance for armed terrorists.” The Ukrainian government held an emergency meeting of the National Defense and Security Council and Foreign Minister Andriy Deshchytsia reached out to his counterpart in Moscow, Sergey Lavrov. In that conversation, he called for an end to these “provocative actions” directed by Russia against Ukraine, a charge that Moscow denies.",,,
15-Apr-14,"Ukrainian Military, Pro-Russian Forces Clash as “Anti-Terrorist Operation” Begins","The Ukrainian military has begun “anti-terrorist operations” in eastern Ukraine to oust pro-Russian forces who have occupied government buildings and security facilities in recent days and weeks. Ukrainian soldiers took back an occupied military airbase located near the town of Kramatorsk in an assault involving both air and ground forces.

One Russian news channel reported between 4 and 11 deaths, while Ukraine has said there were no casualties. ITAR-TASS, the Russian state news agency, reported that a fighter jet (likely Ukrainian) was shot down during the fighting. A Ukrainian military officer stated that Ukrainian forces engaged “fighters in green military uniforms without insignia” at the airfield. This description matches that of the Russian troops that seized Crimea weeks ago.

According to a member of the pro-Russian forces, Ukrainian forces have not taken back Kramatorsk itself, but rather only the airbase, portending future conflict. Reuters has reported that attempts by military officials to placate or reason with crowds in Kramatorsk proper were unsuccessful. General Gennady Krutov was forced to withdraw with his men after a crowd shouting “Hands off the Donbass” became heated. It has also been reported that Ukrainian military forces “including troops and armored vehicles,” as well as helicopters, have surrounded the town of Slovyansk, where pro-Russian separatists seized buildings on Saturday. Pro-Russian protestors also seized a government building in Mariupol, another eastern Ukrainian city.

Interim Ukrainian President Oleksandr Turchynov stated in an address to Parliament that “soon there will be no terrorists left in Donetsk or any other region [in Ukraine],” though he did note that the offensive would be “phased, responsible and balanced.” He went on to say that “the purpose of the actions […] is to protect the citizens of Ukraine.” Ukrainian National Security Council Chief Andiry Parubiy tweeted that self-defense forces from the protests on the Maidan in Kyiv were being sent to eastern Ukraine as part of the Ukrainian National Guard. Yurii Klymenko, Ukraine’s Ambassador to the United Nations, stated that Russia’s goal is to disrupt talks between Russia, the EU, the United States, and Ukraine set for Thursday. According to Klymenko, “we are not going to discuss federalization of Ukraine. This issue is not on the agenda.”",,,
20-Apr-14,Photographic Evidence of Russian Military in Eastern Ukraine,"The New York Times today published a series of photographs provided by the Ukrainian government to the OSCE that point towards direct Russian military involvement in eastern Ukraine. The photographs offer compelling comparisons between confirmed images of Russian military forces and photographs of “self-defense forces” in eastern Ukraine. In some cases, the photographs point to the presence of specific individuals in both eastern Ukraine and, for example, Russia’s 2008 war with Georgia; in others, the striking similarity in terms of equipment is highlighted. One Russian military intelligence operative, Igor Ivanovich Strelkov, was identified specifically by the Ukrainian government as being active in eastern Ukraine.

The U.S. Department of State has called the photographic evidence “convincing.” Speaking on Sunday following the publication of the images, State Department spokesperson Jen Psaki stated that “there has been broad unity in the international community about the connection between Russia and some of the armed militants in eastern Ukraine, and the photos presented by the Ukrainians last week only further confirm this, which is why U.S. officials have continued to make that case.”

Click here to see the pictures and click here to read the accompanying article.",,,
24-Apr-14,"Clashes Reported in Mariupol, Slovyansk, and Artemivsk","According to Ukrainian Interior Minister Arsen Avakov, Ukrainian forces have taken back the city hall in the Black Sea town of Mariupol from pro-Russian separatists as part of renewed “anti-terrorist operations.” Separatist forces had held the building for nearly two weeks.

Other reports have contradicted Avakov’s claim. A spokesperson for the Mariupol Police indicated that “about 30 masked men armed with baseball bats stormed the [city hall] in the early hours on Thursday and started beating the protesters” and that negotiations with those pro-Russian forces still inside the building were ongoing. Another report indicated that separatists are likely to remain in control of the city hall building.

Fighting between Ukrainian forces and pro-Russian militants outside Slovyansk resulted in the deaths of “up to five” separatists, according to the Ukrainian Interior Ministry. The clashes broke out as Ukrainian security forces, using both armored personnel carriers and air support, attacked three highway checkpoints outside the city. Reportedly, the Ukrainian troops have now withdrawn, though the pro-Russian forces had first abandoned the checkpoints. A spokesperson for the pro-Russian leadership in Slovyansk indicated that only two of their forces were killed, one by sniper fire.

Interim President Oleksandr Turchynov announced that Ukrainian forces repelled an attack from nearly 100 pro-Russian forces on a military base in Artemivsk, which lies to the north of Donetsk. Turchynov stated that “the attackers were repelled and suffered significant losses.”

Simon Ostrovsky, the journalist with Vice News, who was being held by pro-Russian forces in Slovyansk since early this week, has been freed",,,
28-Apr-14,"Kharkiv Mayor Shot as Tensions Continue to Rise in Donetsk Region
","At midday local time, Gennady Kernes, the mayor of the eastern Ukrainian city of Kharkiv, was shot in the back in an apparent assassination attempt. Following a successful surgery, Kernes is in critical condition and one local official stated that he is “fighting for his life.”

Before the protests on the Maidan, Kernes had been a staunch ally of the Yanukovych government. However, in recent months he had forged a positive relationship with the authorities in Kyiv and directed Kharkiv’s local police forces to retake, in some cases successfully, government buildings seized by pro-Russian forces. Interim Ukrainian President Oleksandr Turchynov ordered an investigation into the shooting, though no official has yet stated which individuals or groups are suspected in the attack.

Elsewhere in eastern Ukraine, a pro-Ukraine protest in Donetsk erupted into violence when it was attacked by a group of secessionists, resulting in dozens of injuries. Reportedly, “baseball bat-wielding militants wearing ‘People’s Republic of Donetsk’ shirts” and some others dressed in fatigues attacked the rally using fire-crackers, at least one stun grenade, and other implements of violence. Militants also captured a City Council building in the city of Konstantinovka. Neither the local police nor local residents made any effort to stop them from doing so.

In a phone call with U.S. Secretary of Defense Chuck Hagel, Russian Defense Minister Sergei Shoigu stated unequivocally that Russian forces will not invade Ukraine. According to a Pentagon readout of the conversation, Hagel pressed his Russian counterpart on Russian role in escalating the crisis and supporting secessionist forces, while also asking for Russia to assist in securing the release of seven military monitors currently being held in Slovyansk.

According to the Russian delegation to the OSCE, Moscow is prepared to “discuss the military aspects surrounding the crisis in Ukraine with the framework of the Forum for Security and Cooperation and its working bodies, as well as through bilateral meetings.” The statement went on to say that the discussions should focus on “an immediate end to the active phase of the Kiev regime’s deadly punitive operation against resident of southeastern Ukraine.”",,,
29-Apr-14,Separatism Continues in Eastern Ukraine,"In Luhansk, pro-Russian separatists opened fire on a police station on Tuesday after seizing the regional government headquarters. Following the clashes, pro-Moscow activists took the headquarters of the government of the Luhansk region and gained control of the regional prosecutor's office and television headquarters.

In Slovyansk, separatists are preparing for a referendum. Authorities in eastern Ukraine’s Slovyansk have ordered the printing of ballots in preparation for an upcoming referendum on the future of the region. According to a spokesman, the ballots for the May 11 referendum will ask voters if they support the April 7 declaration of independence of the Donetsk People’s Republic, a self-proclaimed state in eastern Ukraine. The Slovyansk city council also approved the formation of an official local militia, expected to be formed from the current self-defense forces.",,,
2-May-14,Nearly 40 Die as Clashes Explode in Odessa,"Between 30 and 45 pro-Russian activists died after a fire engulfed the Trade Union building in Odessa following a series of clashes between pro-Moscow and pro-Kyiv protesters on Friday. It was the deadliest day in Ukraine since the height of the fighting between government forces and protesters on the Maidan in late February. According to a Washington Post report, pro-Kyiv demonstrators threw Molotov cocktails at the Trade Unions building where a portion of the pro-Russian mob had taken shelter. An Interfax-Ukraine report listed the death toll at 43; other sources reported tsimilar figures.

Elsewhere in eastern Ukraine, government forces once again attempted to clear Slovyansk of pro-Russian separatists. Following a full day of clashes, the Ukrainian military had won some small victories, “capturing and holding separatist checkpoints and posting infantry and armored vehicles on a bridge overlooking rail lines by the city’s southern border.” Two Ukrainian helicopters were shot down by pro-Russian forces, resulting in the deaths of both pilots; otherwise, casualties around Slovyansk appear to have been relatively light. The Ukrainian military asserts that a Russian surface-to-air missile was used to shoot down the helicopters, bolstering the case that the Russian military is actively supplying the separatists or may be militarily involved in eastern Ukraine.",,,
13-May-14,"Seven Ukrainian Soldiers Killed, More Wounded in Separatist Ambush","On Tuesday, an armored column of the Ukrainian military was ambushed by pro-Russian forces in Oktyabrski, about 20 km southwest of Kramatorsk. According to the Ukrainian Ministry of Defense, seven soldiers died and up to eight others were wounded (. A statement from the ministry read: “Our soldiers were attacked in an ambush. Terrorists attacked our land troops with grenades. The attackers were more than 30 people and set an ambush near the river.” It was the largest loss of life for the Ukrainian military in a single clash with separatists since the beginning of fighting in eastern Ukraine.

In a separate incident, the “People’s Governor” of Luhansk, Valeriy Bolotov, survived an apparent assassination attempt. It is not clear who was behind the attack.

In an attempt to discredit President Putin’s claim that Russia had withdrawn its troops from the border with Ukraine, the U.S. government and NATO have released a series of satellite images that it says disprove Putin’s assertion. According to a NATO spokesperson, “the reality is that Russia continues to have 40,000 high readiness troops massed on Ukraine's border and another 25,000 troops in Crimea. The units on the latest satellite pictures show mechanised infantry, armoured vehicles and combat helicopters.”",,,
22-May-14,"14 Dead, More Wounded Following Clashes with Rebels near Donetsk, Luhansk","Clashes with pro-Russian separatist forces in eastern Ukraine resulted in the deaths of at least 14 Ukrainian military personnel. The bulk of the casualties were incurred when separatists attacked a military checkpoint near the town of Volnovaha outside of Donetsk on Thursday. Journalists from the AP witnessed “three charred Ukrainian armored personnel carriers and several other burned military vehicles” and quoted witnesses who saw approximately 30 government troops injured.

According to the Ukrainian Defense Ministry, the attackers used RPGs, mortars, and automatic weapons in the attack and an armored vehicle was targeted, igniting an ammunitions depot. Witnesses attested that the attackers used an armored bank truck, which was allowed through the checkpoint. The soldiers were then gunned down at point-blank range.

A rebel group has claimed responsibility for the attack, with a commander based in Horlivka stating that they “destroyed a checkpoint of the fascist Ukrainian army deployed on the land [of] the Donetsk Republic.” The Ukrainian military has stated that its troops were not advancing into eastern Ukraine when they were attacked.

Another Ukrainian soldier was killed in clashes near the town of Rubizhne, outside of Luhansk. Reportedly, “civilian provocateurs” – which some have called human shields – blocked a bridge while pro-Russian forces opened fire. Ukrainian forces were also able to prevent at least 60 armed men from reaching the city of Svatovo, in the Luhansk region, by train. The Ukrainian Foreign Ministry also released a statement condemning efforts by provocateurs from Russia to enter Ukraine in order to destabilize the country “with the full connivance of the Russian authorities and unlawful inactivity by Russian border guards.”

Rebel leaders in the so-called People’s Republic of Luhansk have decided to impose martial law. Reportedly, they are doing so in response to the activities of government troops in the region. According to the Ukrainian Ministry of Energy, rebels in the Luhansk region seized four coal mines near the Russian border and are demanding that employees supply them with explosives.",,,
27-May-14,"Ukrainian Military Retakes Airport, Fighting Claims Dozens","Fighting between the Ukrainian military and pro-Russian forces at the Donetsk International Airport has claimed at least 40 lives and wounded an additional 31, though other reports indicate that at least 50 rebels died in the fighting. However, after two days of conflict, the Ukrainian military has taken back the airport after it was seized by separatists early Monday morning.

The Ukrainian armed forces have now stated that if separatists in Donetsk do not vacate their headquarters, they will use “precision-guided weaponry” to force them out. Denis Pushilin, one of the separatist leaders, stated that “at the moment the situation is very tense, with a lot of threats from Kiev.”

Russian Foreign Minister Sergey Lavrov warned against a further escalation, calling it a “colossal mistake.” Newly-elected president of Ukraine Petro Poroshenko has stated that he will ask the United States for military aid in light of the threat posed by the separatists and by Russia.",,,
2-Jun-14,Separatists Attack Border Guard Headquarters in Luhansk,"Approximately five hundred separatist fighters attacked a Ukrainian border protection headquarters in the eastern city of Luhansk. The attack, which began early Monday morning and lasted through midday, involved rebels equipped with automatic weapons, rocket launchers, and sniper rifles. At least five pro-Russian fighters died (eight wounded). No border officers died, though seven were injured. The Ukrainian military has reportedly provided air support to the border station.

According to a spokesperson for the Ukrainian border service, “they want to clear the way to the border [with Russia]. If they capture that building, they control all the posts along the border.” In recent weeks, the porous Russian border has allowed pro-Russian forces to bring in additional fighters and reinforcements with, as Ukrainian officials have argued, the complicity of the Russian border guard.",,,
10-Jun-14,"Pro-Russian Forces, Military Clash Near Kramatorsk, Slovyansk, Luhansk","Fighting continued unabated in eastern Ukraine on Tuesday, with clashes in Kramatorsk, Slovyansk, and Luhansk. Attacks by rebel groups against military checkpoints around the airport in Kramatorsk were repelled, resulting in the deaths of approximately 40 “mercenaries,” as a military spokesman referred to the pro-Russian forces. An attack on an army position outside of Slovyansk resulted in the deaths of two Ukrainian military personnel, while rebels also targeted military positions in and around the airport in Luhansk as well.

A report from the Daily Beast outlined the toll of fighting in Slovyansk on the civilian population. Reportedly, approximately 40 percent of the population has fled the city since the beginning of military operations targeting separatists earlier this month. Published on the same day that President Poroshenko ordered the creation of humanitarian escape corridors for civilians in the east, this report gives credence to the absolute necessity of such measures.",,,
14-Jun-14,Violent Protests Outside Russian Embassy in Kiev,"The downing of a Ukrainian military transport train earlier this morning sparked violent protests at Russia’s embassy in Kiev. Protestors smashed windows with thrown stones, overturned diplomats’ cars and hurled eggs and Molotov cocktails into the compound. Nearby police officers avoided detaining or confronting the protestors.

In response, the Russian government declared ""Moscow is extremely outraged at the provocative actions of fascist-like thugs in Kiev against the Russian Embassy. Moscow demands the Ukrainian side take all necessary security measures to protect Russian diplomats in Kiev..""

They were joined by the U.S. State Department in condemning the embassy attack. The violence occurred during talks between Russian and Ukrainian officials over resuming gas supplies to Ukraine.",,,
19-Jun-14,“Major Battle” Underway Near Krasny Liman,"Pro-Russian separatists in eastern Ukraine broadly rejected a call from the Ukrainian government and military for a cease-fire, prompting some of the largest and most violent clashes of the past month near the city of Krasny Liman. According to a spokesperson for the military, “We issued an ultimatum to the terrorists overnight to surrender their weapons. We guarantee their safety and investigation in line with Ukrainian law ... They refused. Now we are trying to narrow the encirclement. They are trying to break out.” Rebel sources indicated that Ukrainian ground forces supported by armor were attacking Yampil, a village 7 miles east of Krasny Liman.

Reports indicate that up to 4,000 fighters on the rebel side are involved in the fighting and that both sides are using armored vehicles. A military sources called it “a major battle […] which exceeds in terms of force and scale anything there has been up to now.” When asked about the size of the rebel contingent, the military spokesperson stated that if there are 4,000 fighters, “then, there'll be 4,000 coffins.”

Spokespeople for the rebels have acknowledged heavy losses. Igor Strelkov, a rebel commander, stated that “we beat off the first attack and destroyed one tank. But it is difficult to take on 20 tanks. The battle is going on. Our people are holding but we can't rule out that they (government forces) will break through,” indicating that the rebels are outgunned.",,,
24-Jun-14,Cease-Fire Violated as Rebels Shoot Down Military Helicopter,"President Poroshenko’s ceasefire was violated when a military transport helicopter was shot down by rebels on Tuesday. The Ukrainian MIL MI-8 transport helicopter was “carrying equipment and specialists to monitor the cease-fire” when it was struck by rebels carrying a MANPAD (Man Portable Air Defense System). Nine Ukrainian servicemen, including the three-man crew, were killed.

The Ukrainian president condemned the violence and stated that the ceasefire may end early if the violations continued. Mr. Poroshenko’s statement went on to claim that 35 separate violations committed by rebel forces had already occurred during the ceasefire.

Alexander Borodai, self-proclaimed prime minister of the Donetsk People’s Republic, claimed responsibility for the attack but blamed the Ukrainian military for violating the ceasefire. Another rebel commander argued that the ceasefire was meaningless, and that rebels should “not trust a single letter” of the three party talks in Donetsk.",,,
6-Jul-14,Ukrainian Forces Continue to March East,"The Ukrainian Anti-Terrorist Operation (ATO) is continuing its offensive which successfully recaptured the city of Slovyansk yesterday. The latest report from the Office of the President of Ukraine claims that the blue and yellow national flag is now flying over the towns of Artemivsk and Druzhkivka. Artemivsk and Druzhkivka are smaller cities, and less tactically important than Slovyansk, but represent an important shift in the ATO’s momentum.

“My order is now in effect - tighten the ring around the terrorists” tweeted President Poroshenko earlier today as the military prepares its siege of Donetsk, the insurgent’s final major redoubt. Donetsk is a considerably larger city than Slovyansk and will be a serious challenge for the Ukranian military. Rebel forces throughout the region, including insurgent commander Igor Strelkov, have retreated to Donetsk to dig in. Rebel forces are preparing for a bitter siege as evidenced by the self-proclaimed Governor Pavel Gubarev who declared “we will drown these wretches in blood.”",,,
11-Jul-14,Up to 30 Soldiers Killed in Insurgent Missile Strike,"As many as 30 Ukrainian soldiers were killed Friday in a deadly rocket barrage launched by pro-Russian rebels. The troops were stationed in Zelenopillya, a village near the Russian border when insurgents launched missiles from a BM-21 Grad killing at least 23. President Poroshenko convened an emergency meeting in response to the attack that injured an additional 93 servicemen. Mr. Poroshenko vowed “hundreds” of insurgents would pay for the attack in a statement posted to the defense ministry website.

The attack comes in the midst of a renewed Ukrainian offensive that has captured roughly half of rebel territory. The BM-21 Grad Multiple Rocket Launcher is a Russian designed artillery system employed by both factions. While the casualty count is still being established, the attack will likely be one of the bloodiest in the ongoing crisis.",,,
17-Jul-14,Malaysian Airlines Flight Shot Down in Eastern Ukraine,"According to numerous reports, Malaysian Airlines flight MH17 was shot down over eastern Ukraine earlier today. The flight is reported to be carrying 280 passengers and 15 crew members and crossed the Russian Border at about 17:25 Moscow time. The plane is said to be down North of Torez, Ukraine. All crew and passengers are believed to be dead.

An adviser to the Ukrainian Interior Ministry has stated that the plane was hit by a missile fired from a Buk surface-to-air launcher. According to an Associated Press report, such a launcher was seen by reporters near the rebel-held town of Snizhne earlier today.

It is as of yet unclear who is responsible for the attack on the plane. According to BBC reporter Ross Hawkins, pro-Russian separatist sources claimed they had shot down a Ukrainian plane just minutes before the news broke of the crash. Rebels, however, have claimed they were not involved in the attack and possessed no armaments capable of targeting a plane flying at 10,000 meters.",,,
21-Jul-14,Ukrainian Military and Rebel Fighters Clash in Donetsk,"In the heaviest outbreak of violence since the downing of MH17, fighting broke out in the rebel stronghold of Donetsk on Monday as Ukrainian forces tried to regain control of parts of the city. Skirmishes raged to the northwest of the city and in the center where heavy fighting near the railway station resulted in several civilian deaths. Kiev has denied sending the regular army into the city’s center, insisting that fighting in the city center is the result of pro-Ukrainian activists.

In related news, pro-Russian separatists handed over MH17's black boxes as the first bodies of the tragedy's victims left the crash site in a refrigerated box car. These breakthroughs come on the heels of a United Nations Security Council resolution that ʺcondemns in the strongest terms"" the attack that brought down the Malaysia Airlines plane in Ukraine.",,,
26-Jul-14,Ukraine Launches Offensive to Retake Donetsk,"Building on momentum gained in recent victories against pro-Russian separatists, the Ukrainian military advanced on the key insurgent stronghold of Donetsk Saturday. A Ukrainian national security spokesman stated that Ukrainian forces were outside the town of Horlivka, just north of the regional center of Donetsk. If the town of Horlivka falls, Ukrainian forces will have open access to the regional capital – Donetsk - and the separatist headquarters located therein. Government forces have blocked roads in and out of Donetsk to prevent insurgents from resupplying. Fearing a violent battle as Ukrainian forces close in on the city, citizens of Donetsk are fleeing the city in droves. Cars jammed roadways heading south out of the city on Saturday.

The continued fighting rages not far from the crash site of MH 17 and comes merely a week after the tragic event. An international team of investigators have had difficulties securing the crash site as bureaucratic tape hinders their ability to enter the region. According to the head of the investigation team, the delay was needed to give the Ukrainian Parliament time to vote and provide a “legal basis” for the deployment of foreign police officers on Ukrainian territory. Bodies of those aboard MH 17 continued arriving in the Netherlands on transport aircraft as announcements were made that forensic experts had officially identified the first victim.",,,
